,county,centroid,longitude,latitude
67,somervell,"-97.77221059570091,32.22186225101368",-97.77221059570091,32.22186225101368
68,navarro,"-96.42621082145808,32.07250082880774",-96.42621082145808,32.07250082880774
69,henderson,"-95.92345359662241,32.22538300329924",-95.92345359662241,32.22538300329924
70,callahan,"-99.37349127947724,32.29793452378716",-99.37349127947724,32.29793452378716
71,rusk,"-94.71287218507885,32.10074558024329",-94.71287218507885,32.10074558024329
72,eastland,"-98.82878822018309,32.33001304151703",-98.82878822018309,32.33001304151703
73,taylor,"-99.88998744204109,32.30111982636296",-99.88998744204109,32.30111982636296
74,erath,"-98.22120675312718,32.23356307847107",-98.22120675312718,32.23356307847107
75,nolan,"-100.4059924371322,32.30372266054225",-100.4059924371322,32.30372266054225
76,panola,"-94.303114109123,32.17330860644722",-94.303114109123,32.17330860644722
77,mitchell,"-100.920966127084,32.30607382156087",-100.920966127084,32.30607382156087
78,howard,"-101.4355359454545,32.30620305854507",-101.4355359454545,32.30620305854507
79,martin,"-101.9512955038555,32.30637249536768",-101.9512955038555,32.30637249536768
80,andrews,"-102.6379032699433,32.30505668328739",-102.6379032699433,32.30505668328739
81,hood,"-97.83398782705828,32.43030143846793",-97.83398782705828,32.43030143846793
82,johnson,"-97.37497719524973,32.3693341055412",-97.37497719524973,32.3693341055412
83,ellis,"-96.74719065924958,32.35751903091331",-96.74719065924958,32.35751903091331
84,smith,"-95.30445885913657,32.41609175336237",-95.30445885913657,32.41609175336237
85,gregg,"-94.78711782264395,32.4738944474983",-94.78711782264395,32.4738944474983
86,kaufman,"-96.304552632922,32.58854681927978",-96.304552632922,32.58854681927978
87,harrison,"-94.36898512846001,32.56597429028788",-94.36898512846001,32.56597429028788
88,van zandt,"-95.79782466906136,32.57181151654626",-95.79782466906136,32.57181151654626
89,shackelford,"-99.35399396328587,32.73602620461041",-99.35399396328587,32.73602620461041
90,jones,"-99.87630857406054,32.73778651680928",-99.87630857406054,32.73778651680928
91,stephens,"-98.83628966386136,32.73562960207111",-98.83628966386136,32.73562960207111
92,fisher,"-100.4014859685231,32.74299207113042",-100.4014859685231,32.74299207113042
93,borden,"-101.4316525077157,32.74396516183307",-101.4316525077157,32.74396516183307
94,scurry,"-100.9159668668537,32.74647915440953",-100.9159668668537,32.74647915440953
95,orange,"-93.89334331181318,30.12414591287092",-93.89334331181318,30.12414591287092
96,bastrop,"-97.32114146979607,30.10334509912323",-97.32114146979607,30.10334509912323
97,washington,"-96.39034691792649,30.2113173478857",-96.3903469179265,30.2113173478857
98,gillespie,"-98.94644184173873,30.31794022165447",-98.94644184173873,30.31794022165447
99,blanco,"-98.39419200378966,30.26835527741548",-98.39419200378966,30.26835527741548
100,lee,"-96.94885656979228,30.32245130589835",-96.94885656979228,30.32245130589835
101,liberty,"-94.80310739998342,30.13721616681042",-94.80310739998342,30.13721616681042
102,travis,"-97.78657199868897,30.36500941497449",-97.78657199868897,30.36500941497449
103,hardin,"-94.33381885284128,30.31857954321423",-94.33381885284128,30.31857954321423
104,terrell,"-102.0473874918379,30.22762235587663",-102.0473874918379,30.22762235587663
105,montgomery,"-95.50410573383215,30.2896134218488",-95.50410573383215,30.2896134218488
106,sutton,"-100.5381435736778,30.49813907134404",-100.5381435736778,30.49813907134404
107,kimble,"-99.72449686906053,30.48424822762625",-99.72449686906053,30.48424822762625
108,brewster,"-103.1827736249141,29.73222591633295",-103.1827736249141,29.73222591633295
109,presidio,"-104.3383142356088,30.01534084482966",-104.3383142356088,30.01534084482966
110,burleson,"-96.60635776156631,30.4847474122827",-96.60635776156631,30.4847474122827
111,williamson,"-97.61210823035053,30.6274785001429",-97.61210823035053,30.6274785001429
112,grimes,"-96.02135443613054,30.53132488522538",-96.02135443613054,30.53132488522538
113,llano,"-98.64045018466402,30.7029184827689",-98.64045018466402,30.7029184827689
114,mason,"-99.22567869645857,30.7184223114469",-99.22567869645857,30.7184223114469
115,san jacinto,"-95.13972629525581,30.59202182205913",-95.13972629525581,30.59202182205913
116,brazos,"-96.27749503240337,30.61867511126844",-96.27749503240337,30.61867511126844
117,burnet,"-98.211003102167,30.77999651304732",-98.211003102167,30.77999651304732
118,menard,"-99.80888001214923,30.89020498901774",-99.80888001214923,30.89020498901774
119,schleicher,"-100.5386084580763,30.8965790912044",-100.5386084580763,30.8965790912044
120,crockett,"-101.6086455013767,30.76574904082722",-101.6086455013767,30.76574904082722
121,walker,"-95.56876685908061,30.77516315350827",-95.56876685908061,30.77516315350827
122,milam,"-96.94546302501725,30.8008348197027",-96.94546302501725,30.8008348197027
123,madison,"-95.90330213095022,30.95729233843041",-95.90330213095022,30.95729233843041
124,jeff davis,"-104.1919980280344,30.70596109317736",-104.1919980280344,30.70596109317736
125,tyler,"-94.3356901637471,30.79271282592029",-94.3356901637471,30.79271282592029
126,polk,"-94.83067822475108,30.79870979467292",-94.83067822475108,30.79870979467292
127,jasper,"-94.09377372111915,30.73631663849924",-94.09377372111915,30.73631663849924
128,bell,"-97.47740525651838,31.03566305242863",-97.47740525651838,31.03566305242863
129,newton,"-93.71919981701426,30.71684655326813",-93.71919981701426,30.71684655326813
130,pecos,"-102.6135532023482,30.81064756716526",-102.6135532023482,30.81064756716526
131,robertson,"-96.50655346813195,31.03593141394405",-96.50655346813195,31.03593141394405
132,lampasas,"-98.26528325409052,31.18424485758838",-98.26528325409052,31.18424485758838
133,trinity,"-95.12357743168882,31.09743888781345",-95.12357743168882,31.09743888781345
134,san saba,"-98.7668372088346,31.18908478420492",-98.7668372088346,31.18908478420492
135,mcculloch,"-99.35212303543857,31.23834893837061",-99.35212303543857,31.23834893837061
136,irion,"-100.9828086273138,31.30339349533369",-100.9828086273138,31.30339349533369
137,falls,"-96.93555632746387,31.25231983110649",-96.93555632746387,31.25231983110649
138,concho,"-99.84629240227167,31.34261830629903",-99.84629240227167,31.34261830629903
139,angelina,"-94.60446063825246,31.26372034373385",-94.60446063825246,31.26372034373385
140,reagan,"-101.5231547112193,31.36633176384104",-101.5231547112193,31.36633176384104
141,upton,"-102.0424385965597,31.36889113578497",-102.0424385965597,31.36889113578497
142,houston,"-95.43462200599002,31.31564378605113",-95.43462200599002,31.31564378605113
143,crane,"-102.5182360677908,31.37610212328151",-102.5182360677908,31.37610212328151
144,ward,"-103.1741610041772,31.50198398746604",-103.1741610041772,31.50198398746604
145,tom green,"-100.6067270077312,31.4441341972758",-100.6067270077312,31.4441341972758
146,leon,"-95.97856484630422,31.30353287707648",-95.97856484630422,31.30353287707648
147,coryell,"-97.79932560030991,31.39089852954627",-97.79932560030991,31.39089852954627
148,mills,"-98.64038635978868,31.46021170277657",-98.64038635978868,31.46021170277657
149,sabine,"-93.82645358900848,31.3574135853201",-93.82645358900848,31.3574135853201
150,san augustine,"-94.21633467995075,31.40088033838943",-94.21633467995075,31.40088033838943
151,limestone,"-96.58139587341289,31.54139302708382",-96.58139587341289,31.54139302708382
152,mclennan,"-97.20166429747154,31.55381596632202",-97.20166429747154,31.55381596632202
153,nacogdoches,"-94.57267825945503,31.56312580579042",-94.57267825945503,31.56312580579042
154,hamilton,"-98.11716643301989,31.71153133939767",-98.11716643301989,31.71153133939767
155,loving,"-103.632274460792,31.85130146143591",-103.632274460792,31.85130146143591
